American Indian Precision,American Indian Recall,American Indian AUC,American Indian FPR,American Indian FNR,American Indian Selection Rate,Asian Precision,Asian Recall,Asian AUC,Asian FPR,Asian FNR,Asian Selection Rate,Black Precision,Black Recall,Black AUC,Black FPR,Black FNR,Black Selection Rate,Other Race Precision,Other Race Recall,Other Race AUC,Other Race FPR,Other Race FNR,Other Race Selection Rate,Pacific Islander Precision,Pacific Islander Recall,Pacific Islander AUC,Pacific Islander FPR,Pacific Islander FNR,Pacific Islander Selection Rate,White Precision,White Recall,White AUC,White FPR,White FNR,White Selection Rate,Female Precision,Female Recall,Female AUC,Female FPR,Female FNR,Female Selection Rate,Male Precision,Male Recall,Male AUC,Male FPR,Male FNR,Male Selection Rate,Other Sex Precision,Other Sex Recall,Other Sex AUC,Other Sex FPR,Other Sex FNR,Other Sex Selection Rate,Income 0 Precision,Income 0 Recall,Income 0 AUC,Income 0 FPR,Income 0 FNR,Income 0 Selection Rate,Income 25000 Precision,Income 25000 Recall,Income 25000 AUC,Income 25000 FPR,Income 25000 FNR,Income 25000 Selection Rate,Income 50000 Precision,Income 50000 Recall,Income 50000 AUC,Income 50000 FPR,Income 50000 FNR,Income 50000 Selection Rate,Income 75000 Precision,Income 75000 Recall,Income 75000 AUC,Income 75000 FPR,Income 75000 FNR,Income 75000 Selection Rate,Income 100000 Precision,Income 100000 Recall,Income 100000 AUC,Income 100000 FPR,Income 100000 FNR,Income 100000 Selection Rate,Income 150000 Precision,Income 150000 Recall,Income 150000 AUC,Income 150000 FPR,Income 150000 FNR,Income 150000 Selection Rate,Income 200000 Precision,Income 200000 Recall,Income 200000 AUC,Income 200000 FPR,Income 200000 FNR,Income 200000 Selection Rate
0.622,0.9808,0.5171,0.9466,0.0192,0.9676,0.6124,0.5166,0.5187,0.4792,0.4834,0.5014,0.5627,0.9528,0.4948,0.9632,0.0472,0.9573,0.5779,0.9278,0.4798,0.9683,0.0722,0.9444,0.5816,0.497,0.518,0.4609,0.503,0.4812,0.4167,0.0532,0.478,0.0972,0.9468,0.0723,0.6339,0.691,0.5277,0.6357,0.309,0.6697,0.526,0.4246,0.4809,0.4628,0.5754,0.4419,0.5808,0.8557,0.4952,0.8652,0.1443,0.8597,0.5882,0.339,0.475,0.3889,0.661,0.3579,0.5116,0.1215,0.4787,0.1641,0.8785,0.1392,0.6077,0.5338,0.5372,0.4595,0.4662,0.5019,0.6308,0.6721,0.5434,0.5854,0.3279,0.6373,0.5851,0.9722,0.5011,0.9699,0.0278,0.9712,0.4744,0.7872,0.4665,0.8542,0.2128,0.8211,0.6667,0.7925,0.5342,0.7241,0.2075,0.7683
0.5943,0.9643,0.5079,0.9485,0.0357,0.9578,0.5684,0.5094,0.4598,0.5899,0.4906,0.5413,0.5515,0.9486,0.5088,0.931,0.0514,0.9406,0.5962,0.9637,0.5351,0.8936,0.0363,0.9341,0.5698,0.5385,0.538,0.4625,0.4615,0.5029,0.6667,0.0833,0.5107,0.062,0.9167,0.0748,0.6065,0.6877,0.5144,0.6589,0.3123,0.6761,0.556,0.4219,0.5018,0.4184,0.5781,0.4203,0.5707,0.8589,0.4915,0.8758,0.1411,0.8661,0.5556,0.4255,0.535,0.3556,0.5745,0.3913,0.587,0.1467,0.4986,0.1496,0.8533,0.1479,0.5993,0.5443,0.512,0.5204,0.4557,0.5345,0.5161,0.5926,0.4963,0.6,0.4074,0.5962,0.5859,0.9636,0.4916,0.9803,0.0364,0.9704,0.5376,0.8333,0.5327,0.7679,0.1667,0.8017,0.5493,0.78,0.5422,0.6957,0.22,0.7396
0.5908,0.9676,0.5211,0.9254,0.0324,0.9498,0.6573,0.5519,0.5449,0.4621,0.4481,0.5174,0.6128,0.9853,0.5079,0.9695,0.0147,0.9791,0.5842,0.9267,0.4932,0.9403,0.0733,0.9323,0.5802,0.5434,0.5356,0.4722,0.4566,0.511,0.7143,0.1183,0.5382,0.0419,0.8817,0.0778,0.5664,0.6971,0.5265,0.644,0.3029,0.673,0.5655,0.4562,0.5416,0.373,0.5438,0.4159,0.6545,0.8767,0.5339,0.8089,0.1233,0.8521,0.5652,0.4906,0.5492,0.3922,0.5094,0.4423,0.5882,0.1935,0.5384,0.1167,0.8065,0.1522,0.6259,0.5298,0.5197,0.4903,0.4702,0.5143,0.5821,0.6724,0.5445,0.5833,0.3276,0.6321,0.602,0.9837,0.5075,0.9688,0.0163,0.9777,0.6512,0.8615,0.6116,0.6383,0.1385,0.7679,0.5679,0.8364,0.5377,0.7609,0.1636,0.802
0.5899,0.9303,0.4801,0.9701,0.0697,0.9463,0.5833,0.4601,0.4853,0.4895,0.5399,0.4719,0.5993,0.9526,0.5037,0.9453,0.0474,0.9497,0.5666,0.9482,0.5074,0.9333,0.0518,0.9417,0.5899,0.5497,0.4805,0.5887,0.4503,0.5651,0.5667,0.0929,0.5031,0.0867,0.9071,0.0901,0.5757,0.6784,0.4747,0.7289,0.3216,0.699,0.5922,0.4474,0.5057,0.436,0.5526,0.4427,0.5889,0.8736,0.5211,0.8315,0.1264,0.8558,0.5745,0.403,0.4312,0.5405,0.597,0.4519,0.7105,0.1588,0.5371,0.0846,0.8412,0.1267,0.5684,0.5062,0.4786,0.5491,0.4938,0.5239,0.6176,0.6885,0.5347,0.619,0.3115,0.6602,0.5861,0.9679,0.4954,0.977,0.0321,0.9717,0.6049,0.7538,0.5291,0.6957,0.2462,0.7297,0.5316,0.8077,0.4927,0.8222,0.1923,0.8144
0.5655,0.962,0.4987,0.9645,0.038,0.9631,0.6507,0.5026,0.5596,0.3835,0.4974,0.4534,0.5592,0.9594,0.4991,0.9613,0.0406,0.9602,0.618,0.9387,0.5034,0.9318,0.0613,0.936,0.5896,0.5455,0.5279,0.4897,0.4545,0.5211,0.6471,0.0598,0.5086,0.0426,0.9402,0.0523,0.6054,0.7317,0.5482,0.6354,0.2683,0.6904,0.5599,0.423,0.4914,0.4401,0.577,0.4304,0.5957,0.88,0.5109,0.8582,0.12,0.8711,0.6078,0.5167,0.5311,0.4545,0.4833,0.4904,0.6389,0.1271,0.5139,0.0992,0.8729,0.1154,0.5897,0.5533,0.5277,0.4978,0.4467,0.5291,0.65,0.65,0.5558,0.5385,0.35,0.6061,0.5823,0.9745,0.5064,0.9618,0.0255,0.9692,0.5663,0.7344,0.5072,0.72,0.2656,0.7281,0.6145,0.7846,0.5287,0.7273,0.2154,0.7615
0.578,0.9497,0.5087,0.9324,0.0503,0.9424,0.5698,0.4976,0.4869,0.5238,0.5024,0.5085,0.6029,0.9585,0.5101,0.9384,0.0415,0.9504,0.5566,0.9609,0.5014,0.958,0.0391,0.9596,0.5037,0.4224,0.4388,0.5447,0.5776,0.4754,0.4286,0.0533,0.4898,0.0736,0.9467,0.0633,0.5826,0.672,0.5075,0.657,0.328,0.6656,0.5586,0.4701,0.4991,0.4719,0.5299,0.4709,0.5629,0.8529,0.5075,0.8379,0.1471,0.8463,0.5714,0.4528,0.5349,0.383,0.5472,0.42,0.6098,0.1506,0.5209,0.1088,0.8494,0.131,0.5269,0.4757,0.4633,0.5491,0.5243,0.5078,0.6393,0.6,0.5027,0.5946,0.4,0.598,0.5701,0.9732,0.5056,0.9619,0.0268,0.9683,0.6329,0.8065,0.4638,0.8788,0.1935,0.8316,0.5429,0.7755,0.4975,0.7805,0.2245,0.7778
0.5764,0.905,0.4842,0.9366,0.095,0.9181,0.5801,0.5,0.4843,0.5315,0.5,0.5127,0.5521,0.9409,0.4907,0.9595,0.0591,0.9491,0.5387,0.9435,0.4982,0.947,0.0565,0.9451,0.5215,0.512,0.4833,0.5455,0.488,0.5275,0.625,0.1,0.5052,0.0896,0.9,0.0958,0.5234,0.6364,0.4782,0.68,0.3636,0.6564,0.5855,0.4107,0.4878,0.4351,0.5893,0.4205,0.5668,0.881,0.4957,0.8896,0.119,0.8847,0.5366,0.4151,0.501,0.413,0.5849,0.4141,0.42,0.118,0.4547,0.2086,0.882,0.1577,0.5576,0.5017,0.4887,0.5242,0.4983,0.5114,0.6197,0.6667,0.5041,0.6585,0.3333,0.6636,0.5557,0.9665,0.4879,0.9908,0.0335,0.9772,0.5376,0.7042,0.4221,0.86,0.2958,0.7686,0.6364,0.7778,0.5139,0.75,0.2222,0.7674
0.5559,0.9684,0.5131,0.9423,0.0316,0.9566,0.6213,0.5198,0.5229,0.4741,0.4802,0.5015,0.5528,0.957,0.4985,0.96,0.043,0.9583,0.5701,0.9242,0.4762,0.9718,0.0758,0.9441,0.4934,0.4491,0.4214,0.6063,0.5509,0.517,0.4737,0.0471,0.4915,0.0641,0.9529,0.0548,0.5724,0.6675,0.4904,0.6866,0.3325,0.6756,0.5406,0.418,0.4825,0.453,0.582,0.4334,0.5565,0.8488,0.4922,0.8644,0.1512,0.8557,0.625,0.4098,0.4705,0.4688,0.5902,0.4301,0.65,0.139,0.5188,0.1014,0.861,0.1231,0.5882,0.5172,0.4974,0.5224,0.4828,0.5193,0.4861,0.614,0.4216,0.7708,0.386,0.6857,0.5532,0.9573,0.4982,0.9609,0.0427,0.9589,0.5323,0.825,0.55,0.725,0.175,0.775,0.52,0.7222,0.4938,0.7347,0.2778,0.7282
0.6,0.9437,0.5066,0.9306,0.0563,0.9384,0.5618,0.5,0.4773,0.5455,0.5,0.519,0.5719,0.9421,0.489,0.964,0.0579,0.9514,0.6222,0.9423,0.4952,0.952,0.0577,0.9459,0.6194,0.48,0.4766,0.5268,0.52,0.4968,0.6316,0.0609,0.5033,0.0543,0.9391,0.0583,0.5915,0.6898,0.4771,0.7356,0.3102,0.7078,0.6212,0.41,0.5026,0.4049,0.59,0.408,0.5886,0.8444,0.5014,0.8415,0.1556,0.8433,0.5128,0.3704,0.4787,0.413,0.6296,0.39,0.625,0.1604,0.5115,0.1374,0.8396,0.1509,0.6173,0.5029,0.4696,0.5638,0.4971,0.5246,0.5079,0.5333,0.4222,0.6889,0.4667,0.6,0.5946,0.9756,0.5024,0.9709,0.0244,0.9737,0.5147,0.7292,0.4521,0.825,0.2708,0.7727,0.7,0.8235,0.5481,0.7273,0.1765,0.7921
0.5815,0.9594,0.5202,0.9189,0.0406,0.942,0.6477,0.5377,0.5608,0.4161,0.4623,0.4875,0.561,0.9415,0.4935,0.9545,0.0585,0.9472,0.554,0.9277,0.4977,0.9323,0.0723,0.9298,0.6348,0.5256,0.5184,0.4887,0.4744,0.5115,0.5455,0.0649,0.501,0.0629,0.9351,0.064,0.5922,0.6911,0.5258,0.6395,0.3089,0.6691,0.568,0.3747,0.5049,0.3649,0.6253,0.3704,0.591,0.8817,0.5109,0.8598,0.1183,0.8726,0.55,0.3385,0.4385,0.4615,0.6615,0.3846,0.5111,0.1377,0.4992,0.1392,0.8623,0.1385,0.6448,0.565,0.5536,0.4578,0.435,0.5216,0.5455,0.5263,0.4854,0.5556,0.4737,0.5392,0.5596,0.9694,0.5024,0.9645,0.0306,0.9672,0.6567,0.6984,0.5466,0.6053,0.3016,0.6634,0.6333,0.8028,0.4783,0.8462,0.1972,0.8182
