American Indian Precision,American Indian Recall,American Indian AUC,American Indian FPR,American Indian FNR,American Indian Selection Rate,Asian Precision,Asian Recall,Asian AUC,Asian FPR,Asian FNR,Asian Selection Rate,Black Precision,Black Recall,Black AUC,Black FPR,Black FNR,Black Selection Rate,Other Race Precision,Other Race Recall,Other Race AUC,Other Race FPR,Other Race FNR,Other Race Selection Rate,Pacific Islander Precision,Pacific Islander Recall,Pacific Islander AUC,Pacific Islander FPR,Pacific Islander FNR,Pacific Islander Selection Rate,White Precision,White Recall,White AUC,White FPR,White FNR,White Selection Rate,Female Precision,Female Recall,Female AUC,Female FPR,Female FNR,Female Selection Rate,Male Precision,Male Recall,Male AUC,Male FPR,Male FNR,Male Selection Rate,Other Sex Precision,Other Sex Recall,Other Sex AUC,Other Sex FPR,Other Sex FNR,Other Sex Selection Rate,Income 0 Precision,Income 0 Recall,Income 0 AUC,Income 0 FPR,Income 0 FNR,Income 0 Selection Rate,Income 25000 Precision,Income 25000 Recall,Income 25000 AUC,Income 25000 FPR,Income 25000 FNR,Income 25000 Selection Rate,Income 50000 Precision,Income 50000 Recall,Income 50000 AUC,Income 50000 FPR,Income 50000 FNR,Income 50000 Selection Rate,Income 75000 Precision,Income 75000 Recall,Income 75000 AUC,Income 75000 FPR,Income 75000 FNR,Income 75000 Selection Rate,Income 100000 Precision,Income 100000 Recall,Income 100000 AUC,Income 100000 FPR,Income 100000 FNR,Income 100000 Selection Rate,Income 150000 Precision,Income 150000 Recall,Income 150000 AUC,Income 150000 FPR,Income 150000 FNR,Income 150000 Selection Rate,Income 200000 Precision,Income 200000 Recall,Income 200000 AUC,Income 200000 FPR,Income 200000 FNR,Income 200000 Selection Rate
0.9357,0.7442,0.8234,0.0973,0.2558,0.5213,0.8062,0.6649,0.7256,0.2138,0.3351,0.472,0.8844,0.6878,0.7836,0.1206,0.3122,0.4455,0.9189,0.6667,0.7842,0.0984,0.3333,0.454,0.8514,0.7456,0.7888,0.1679,0.2544,0.4933,0.7772,0.8135,0.7845,0.2446,0.1865,0.5358,0.8225,0.702,0.7536,0.1948,0.298,0.4801,0.8297,0.7635,0.7907,0.1821,0.2365,0.4946,0.927,0.7002,0.7992,0.1018,0.2998,0.4899,0.8043,0.6491,0.7346,0.18,0.3509,0.4299,0.7979,0.8242,0.7983,0.2275,0.1758,0.5387,0.8379,0.7235,0.7677,0.1881,0.2765,0.4951,0.9744,0.6786,0.8214,0.0357,0.3214,0.4643,0.8939,0.6941,0.7818,0.1306,0.3059,0.4761,0.8913,0.7193,0.7902,0.1389,0.2807,0.4946,0.8696,0.6897,0.7796,0.1304,0.3103,0.4423
0.8901,0.7678,0.8114,0.1449,0.2322,0.5215,0.8214,0.7302,0.7579,0.2143,0.2698,0.5106,0.898,0.7059,0.7899,0.1261,0.2941,0.4804,0.8434,0.7035,0.7569,0.1898,0.2965,0.494,0.8993,0.7166,0.8058,0.1049,0.2834,0.4515,0.8012,0.774,0.7887,0.1965,0.226,0.4886,0.8345,0.7076,0.7774,0.1529,0.2924,0.4421,0.8314,0.7636,0.7862,0.1913,0.2364,0.5075,0.9014,0.7273,0.7901,0.1471,0.2727,0.5236,0.8302,0.7719,0.7706,0.2308,0.2281,0.5521,0.8188,0.7771,0.8087,0.1598,0.2229,0.4571,0.8723,0.7377,0.7886,0.1606,0.2623,0.5055,0.913,0.7,0.7833,0.1333,0.3,0.5111,0.8635,0.7029,0.7714,0.1601,0.2971,0.4806,0.86,0.7288,0.7883,0.1522,0.2712,0.4762,0.8269,0.8269,0.8063,0.2143,0.1731,0.5532
0.8516,0.7135,0.7709,0.1716,0.2865,0.4859,0.8434,0.6604,0.7317,0.197,0.3396,0.4826,0.8736,0.7451,0.7886,0.1679,0.2549,0.5194,0.8581,0.6963,0.7661,0.1642,0.3037,0.4769,0.8366,0.7399,0.7831,0.1736,0.2601,0.4826,0.7251,0.7337,0.7438,0.2461,0.2663,0.475,0.8019,0.6944,0.7436,0.2071,0.3056,0.4736,0.7951,0.7855,0.785,0.2154,0.2145,0.5093,0.8951,0.6744,0.7681,0.1382,0.3256,0.4793,0.7647,0.7358,0.7503,0.2353,0.2642,0.4904,0.7365,0.7032,0.7433,0.2167,0.2968,0.4418,0.8621,0.7053,0.7653,0.1748,0.2947,0.4971,0.8462,0.7586,0.796,0.1667,0.2414,0.4906,0.8543,0.711,0.7652,0.1806,0.289,0.4979,0.8246,0.7231,0.7552,0.2128,0.2769,0.5089,0.8333,0.7273,0.7767,0.1739,0.2727,0.4752
0.9259,0.7709,0.8266,0.1176,0.2291,0.5462,0.825,0.7059,0.7564,0.1931,0.2941,0.4819,0.8667,0.681,0.7525,0.176,0.319,0.4925,0.8718,0.7432,0.8012,0.1408,0.2568,0.48,0.8352,0.7958,0.793,0.2098,0.2042,0.5449,0.8129,0.8035,0.7985,0.2065,0.1965,0.5213,0.8471,0.7074,0.7671,0.1733,0.2926,0.4809,0.8225,0.7956,0.7962,0.2032,0.2044,0.5244,0.9011,0.7453,0.8003,0.1446,0.2547,0.5284,0.6957,0.7273,0.7236,0.28,0.2727,0.4894,0.8217,0.7866,0.7987,0.1892,0.2134,0.5032,0.8566,0.8007,0.805,0.1907,0.1993,0.5489,0.8621,0.6579,0.7314,0.1951,0.3421,0.4957,0.888,0.7131,0.7828,0.1474,0.2869,0.4987,0.8679,0.7797,0.8065,0.1667,0.2203,0.5248,0.875,0.7636,0.8193,0.125,0.2364,0.466
0.9213,0.7162,0.7888,0.1386,0.2838,0.5394,0.8634,0.7418,0.7816,0.1786,0.2582,0.5184,0.8616,0.7211,0.7857,0.1497,0.2789,0.4718,0.8509,0.6816,0.7624,0.1569,0.3184,0.4548,0.8425,0.6949,0.7647,0.1655,0.3051,0.462,0.8156,0.8042,0.8243,0.1557,0.1958,0.4548,0.8274,0.6702,0.7485,0.1732,0.3298,0.4482,0.8441,0.7906,0.8107,0.1693,0.2094,0.503,0.9128,0.7129,0.795,0.1228,0.2871,0.5023,0.8182,0.7347,0.7562,0.2222,0.2653,0.5176,0.8,0.7826,0.8053,0.172,0.2174,0.4576,0.8662,0.7373,0.7872,0.1629,0.2627,0.5009,0.8889,0.6575,0.759,0.1395,0.3425,0.4655,0.8828,0.7013,0.7799,0.1414,0.2987,0.4791,0.8333,0.6667,0.7424,0.1818,0.3333,0.4615,0.8824,0.8182,0.8377,0.1429,0.1818,0.5258
0.8944,0.731,0.7975,0.136,0.269,0.5,0.8312,0.6963,0.7524,0.1915,0.3037,0.4819,0.8913,0.6508,0.7788,0.0932,0.3492,0.3943,0.8802,0.7313,0.7947,0.1418,0.2687,0.4883,0.8082,0.6821,0.7342,0.2137,0.3179,0.4803,0.7895,0.838,0.802,0.2339,0.162,0.5429,0.8366,0.6827,0.7609,0.1608,0.3173,0.4461,0.8019,0.7676,0.7791,0.2095,0.2324,0.5024,0.898,0.7196,0.7933,0.1331,0.2804,0.4964,0.8627,0.8,0.8239,0.1522,0.2,0.505,0.7831,0.7975,0.7916,0.2143,0.2025,0.5015,0.8631,0.7028,0.7673,0.1682,0.2972,0.4898,0.8462,0.7719,0.7807,0.2105,0.2281,0.5474,0.8658,0.6708,0.7668,0.1373,0.3292,0.4408,0.8421,0.7619,0.791,0.18,0.2381,0.5044,0.85,0.7846,0.7986,0.1875,0.2154,0.531
0.9236,0.7073,0.7996,0.1081,0.2927,0.4968,0.8447,0.7391,0.7796,0.1799,0.2609,0.4985,0.8521,0.7423,0.7878,0.1667,0.2577,0.4913,0.8792,0.6753,0.7738,0.1277,0.3247,0.4448,0.8239,0.736,0.7746,0.1867,0.264,0.4848,0.822,0.8533,0.8266,0.2,0.1467,0.5395,0.8451,0.7031,0.7717,0.1597,0.2969,0.4605,0.8112,0.7812,0.786,0.2092,0.2188,0.5152,0.9086,0.7395,0.8098,0.1199,0.2605,0.5022,0.8286,0.7073,0.7898,0.1277,0.2927,0.3977,0.7964,0.8061,0.7968,0.2125,0.1939,0.5138,0.8536,0.7587,0.7858,0.1872,0.2413,0.5243,0.871,0.7941,0.8243,0.1455,0.2059,0.5041,0.885,0.6849,0.7745,0.1359,0.3151,0.4676,0.8367,0.7593,0.8012,0.1569,0.2407,0.4667,0.8889,0.8276,0.8424,0.1429,0.1724,0.54
0.8951,0.6882,0.7771,0.1339,0.3118,0.4799,0.8192,0.7178,0.7608,0.1963,0.2822,0.4849,0.8608,0.7196,0.7823,0.1549,0.2804,0.4773,0.8966,0.6404,0.7616,0.1172,0.3596,0.4381,0.8562,0.7616,0.7987,0.1642,0.2384,0.5,0.8148,0.8462,0.8295,0.1872,0.1538,0.5122,0.8479,0.7158,0.7712,0.1734,0.2842,0.4851,0.8135,0.7535,0.7857,0.1821,0.2465,0.4753,0.8997,0.7133,0.7932,0.1269,0.2867,0.4874,0.8462,0.7857,0.7929,0.2,0.2143,0.5417,0.8623,0.8571,0.8576,0.142,0.1429,0.5061,0.8429,0.7398,0.7726,0.1947,0.2602,0.5138,0.8448,0.8305,0.8174,0.1957,0.1695,0.5524,0.8545,0.6589,0.7508,0.1574,0.3411,0.4502,0.8947,0.6071,0.7601,0.087,0.3929,0.3725,0.875,0.7292,0.8036,0.122,0.2708,0.4494
0.913,0.7887,0.8347,0.1194,0.2113,0.5303,0.9244,0.7162,0.8057,0.1048,0.2838,0.4971,0.8864,0.6872,0.7649,0.1575,0.3128,0.4972,0.9122,0.6853,0.7871,0.1111,0.3147,0.4713,0.8444,0.6552,0.7474,0.1603,0.3448,0.4426,0.8284,0.8,0.8088,0.1824,0.2,0.506,0.8539,0.6478,0.7455,0.1568,0.3522,0.4444,0.8812,0.7812,0.8194,0.1423,0.2188,0.5096,0.9185,0.7415,0.8098,0.1218,0.2585,0.5243,0.8864,0.78,0.8368,0.1064,0.22,0.4536,0.8571,0.7765,0.8159,0.1447,0.2235,0.4783,0.8906,0.6951,0.7799,0.1353,0.3049,0.4785,0.8889,0.7671,0.8075,0.1522,0.2329,0.5294,0.8965,0.697,0.7757,0.1456,0.303,0.5007,0.8793,0.7391,0.79,0.1591,0.2609,0.5133,0.881,0.8043,0.8307,0.1429,0.1957,0.5185
0.9029,0.7349,0.8,0.1349,0.2651,0.5132,0.8521,0.7024,0.7572,0.188,0.2976,0.5,0.9084,0.6839,0.7972,0.0896,0.3161,0.4253,0.8276,0.6557,0.7462,0.1634,0.3443,0.4315,0.8105,0.7607,0.7837,0.1933,0.2393,0.4888,0.8693,0.8398,0.8376,0.1646,0.1602,0.5467,0.8601,0.6597,0.7553,0.1491,0.3403,0.446,0.8205,0.795,0.8092,0.1767,0.205,0.4883,0.8992,0.7466,0.8027,0.1412,0.2534,0.5213,0.8696,0.7407,0.7989,0.1429,0.2593,0.4792,0.8525,0.8254,0.8299,0.1656,0.1746,0.5199,0.8456,0.7278,0.7722,0.1834,0.2722,0.4991,0.8571,0.7778,0.8093,0.1591,0.2222,0.5,0.8769,0.6802,0.7716,0.137,0.3198,0.4571,0.8372,0.75,0.7936,0.1628,0.25,0.4725,0.9074,0.7424,0.8102,0.122,0.2576,0.5047
